Frame_Number,Vehicle_ID,Vehicle_Bbox,License_Plate_Bbox,License_Plate_Bbox_Score,License_Number,License_Number_Score
126,1.0,"[1023.4738345409472, 593.2967387450567, 1297.402668343207, 825.9186568273014]","[1113.640869140625, 738.3731689453125, 1220.23828125, 782.378173828125]",0.4382372498512268,AP05JEO,0.2524238833328964
127,1.0,"[1023.3003605048506, 594.3249438163829, 1298.2052421391281, 827.4979782411041]","[1110.806396484375, 737.0099487304688, 1221.930908203125, 780.2927856445312]",0.5079548954963684,AP05JEO,0.6839987425566774
128,1.0,"[1023.942875328485, 595.144963062977, 1298.2524893541708, 829.2923123582445]","[1111.090576171875, 740.8740234375, 1221.69140625, 781.4505615234375]",0.4247472882270813,AP05JEQ,0.3483346179057254
129,1.0,"[1023.6831161410371, 597.0626376675068, 1298.356361681312, 832.3205352474672]","[1120.9259033203125, 741.5901489257812, 1222.5721435546875, 783.2360229492188]",0.4818703830242157,AP05JEO,0.1807519557833264
130,1.0,"[1024.1348448054096, 598.8304555834272, 1299.3724555798924, 834.8335939649767]","[1122.2315063476562, 745.5821228027344, 1223.2517700195312, 786.9985656738281]",0.0,,0.0
131,1.0,"[1024.586573469782, 600.5982734993477, 1300.388549478473, 837.3466526824861]","[1123.537109375, 749.5740966796875, 1223.931396484375, 790.7611083984375]",0.3295757472515106,AP05JEO,0.1602242220626796
132,1.0,"[1024.0380870462411, 603.2248842978995, 1300.9497461586395, 840.4697094668315]","[1117.794921875, 749.1824951171875, 1222.2939453125, 795.0123291015625]",0.4173186123371124,AP05JEO,0.4096202398044997
133,1.0,"[1024.6206319297007, 604.3159467557361, 1302.5444676076354, 841.6233687563067]","[1116.825439453125, 750.4685668945312, 1228.28759765625, 798.0291137695312]",0.5624925494194031,AP05JEQ,0.2138294225729902
134,1.0,"[1023.330345756892, 605.9177144847608, 1302.892182209013, 843.641697917858]","[1121.0804443359375, 753.4549255371094, 1228.2903442382812, 801.4622497558594]",0.0,,0.0
135,1.0,"[1022.0400595840832, 607.5194822137855, 1303.2398968103907, 845.6600270794092]","[1125.33544921875, 756.4412841796875, 1228.2930908203125, 804.8953857421875]",0.5018314123153687,AP05JED,0.2755098652643876
