Frame_Number,Vehicle_ID,Vehicle_Bbox,License_Plate_Bbox,License_Plate_Bbox_Score,License_Number,License_Number_Score
46,6.0,[561.1444000705144 578.683308261583 853.2396587629348 810.2350190359424],[657.9153442382812 713.711669921875 754.2166748046875 767.7371826171875],0.32684409618377686,GT15OGJ,0.11475406079614077
48,5.0,[1112.4768410128752 696.1041968606894 1461.4148492306242 1041.6264008581422],[1235.3603515625 927.5225830078125 1342.022705078125 979.273681640625],0.4660542905330658,WY51YSU,0.14001187333562828
51,6.0,[553.8373455600274 588.3878488067382 853.2388101789386 826.0225318605967],[652.93115234375 727.139404296875 752.3839111328125 783.5916748046875],0.4322849214076996,IO71SGJ,0.03940591311414111
52,5.0,[1117.110791241746 705.4960209813576 1471.683656999296 1055.505505527833],[1240.2032470703125 946.77490234375 1341.9783935546875 998.32666015625],0.36931484937667847,IM51YSU,0.016632844715032773
54,6.0,[552.5125236536833 592.4970040947597 853.7530356277762 834.2166962250743],[660.6343383789062 732.4443359375 744.6484985351562 783.8951416015625],0.4930537939071655,CI15OGJ,0.29883276947059345
56,5.0,[1119.539584724273 721.2847298990669 1479.1272353720274 1070.4631693445303],[1243.47119140625 964.7609252929688 1351.6611328125 1017.1144409179688],0.4955950975418091,NI51VSU,0.04058112363400461
65,6.0,[538.4246401445731 617.215144476449 848.0747400260976 861.000976378019],[650.5872802734375 756.8642578125 738.3623046875 809.9696044921875],0.3374081552028656,GX15OGJ,0.1876740830424432
67,6.0,[535.4300498284332 619.7071141767688 846.5790287702251 864.137337769818],[637.8402099609375 762.1827392578125 738.0867919921875 811.330078125],0.2690752148628235,GX15OGJ,0.30292385285169154
68,6.0,[533.8769524296954 622.3238581051031 846.6554416127963 867.8127036543773],[636.1068115234375 770.6566772460938 735.2509765625 824.0614013671875],0.5164406895637512,GX15OGJ,0.29345458188210466
71,5.0,[1134.8439806205417 768.11554931352 1494.1230898698657 1077.7547035502062],[1261.8095703125 1024.8759765625 1375.628662109375 1076.20068359375],0.32586896419525146,CO51VSU,0.16104558107760936
72,6.0,[526.9862390545709 631.6099801735568 843.537033460543 881.5010967830808],[633.3125610351562 778.789306640625 730.91162109375 833.0542602539062],0.5514731407165527,GY15OGJ,0.5742349604917507
